Correlation,Centrality,Ground Truth
0.12630989251060534,degree_centrality,importance
0.20457846171922847,degree_centrality,doctypebranch
0.11354994246560883,in_degree_centrality,importance
0.2588387501668028,in_degree_centrality,doctypebranch
0.06308330136978268,out_degree_centrality,importance
0.027246184228084506,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.11354994246560883,closeness_centrality,importance
0.2588387501668028,closeness_centrality,doctypebranch
0.12630989251060534,core_number,importance
0.20457846171922847,core_number,doctypebranch
0.11354994246560883,relative_in_degree_centrality,importance
0.2588387501668028,relative_in_degree_centrality,doctypebranch
0.11354994246560883,eigenvector_centrality,importance
0.2588387501668028,eigenvector_centrality,doctypebranch
0.11354994246560883,pagerank,importance
0.2588387501668028,pagerank,doctypebranch
0.0647446342151515,hits_hub,importance
0.027244539076120438,hits_hub,doctypebranch
-0.1941267326077143,hits_authority,importance
-0.01162869693048584,hits_authority,doctypebranch
0.11354994246560883,harmonic_centrality,importance
0.2588387501668028,harmonic_centrality,doctypebranch
0.11354994246560883,disruption,importance
0.2588387501668028,disruption,doctypebranch
-0.19069192104885324,composite,importance
-0.011625704552783932,composite,doctypebranch
