combination,times_selected
in_degree_centrality+relative_in_degree_centrality,24
pagerank+in_degree_centrality,3
disruption+in_degree_centrality,5
in_degree_centrality+closeness_centrality,3
harmonic_centrality+in_degree_centrality,1
degree_centrality+in_degree_centrality,2
pagerank+closeness_centrality,1
core_number+degree_centrality,1
hits_authority+core_number,1
disruption+closeness_centrality,2
pagerank+degree_centrality,1
hits_authority+degree_centrality,1
disruption+pagerank,2
degree_centrality+core_number,1
hits_authority+pagerank,1
pagerank+disruption,1
