Correlation,Centrality,Ground Truth
,degree_centrality,importance
,degree_centrality,doctypebranch
,in_degree_centrality,importance
,in_degree_centrality,doctypebranch
,out_degree_centrality,importance
,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
,closeness_centrality,importance
,closeness_centrality,doctypebranch
,core_number,importance
,core_number,doctypebranch
,relative_in_degree_centrality,importance
,relative_in_degree_centrality,doctypebranch
,eigenvector_centrality,importance
,eigenvector_centrality,doctypebranch
,pagerank,importance
,pagerank,doctypebranch
,hits_hub,importance
,hits_hub,doctypebranch
-0.0025408114081203717,hits_authority,importance
0.13931136023634458,hits_authority,doctypebranch
,harmonic_centrality,importance
,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
,composite,importance
,composite,doctypebranch
