Centrality,article_10,article_11,article_13,article_14,article_2,article_29,article_3,article_34,article_35,article_37,article_38,article_39,article_41,article_46,article_5,article_6,article_8,article_9,article_P1
betweenness_centrality,Doctypebranch: -0.3126 | Importance: -0.2639,Doctypebranch: -0.2924 | Importance: -0.2597,Doctypebranch: -0.3834 | Importance: -0.4136,Doctypebranch: -0.2355 | Importance: -0.2181,Doctypebranch: -0.3106 | Importance: -0.3581,Doctypebranch: -0.0484 | Importance: -0.1406,Doctypebranch: -0.4260 | Importance: -0.4430,Doctypebranch: -0.3675 | Importance: -0.2768,Doctypebranch: -0.3294 | Importance: -0.2897,Doctypebranch: -0.2837 | Importance: -0.3165,Doctypebranch: -0.2207 | Importance: -0.5894,Doctypebranch: nan | Importance: nan,Doctypebranch: -0.2520 | Importance: -0.3300,Doctypebranch: -0.4011 | Importance: -0.3404,Doctypebranch: -0.3873 | Importance: -0.3984,Doctypebranch: -0.3453 | Importance: -0.4376,Doctypebranch: -0.3241 | Importance: -0.2807,Doctypebranch: -0.2013 | Importance: -0.2785,Doctypebranch: -0.3498 | Importance: -0.4556
closeness_centrality,Doctypebranch: -0.3783 | Importance: -0.3837,Doctypebranch: -0.3936 | Importance: -0.3761,Doctypebranch: -0.4121 | Importance: -0.4741,Doctypebranch: -0.3070 | Importance: -0.3196,Doctypebranch: -0.2904 | Importance: -0.4430,Doctypebranch: -0.1031 | Importance: -0.2510,Doctypebranch: -0.4432 | Importance: -0.5157,Doctypebranch: -0.3421 | Importance: -0.3260,Doctypebranch: -0.3280 | Importance: -0.3457,Doctypebranch: -0.3070 | Importance: -0.4747,Doctypebranch: -0.2728 | Importance: -0.6802,Doctypebranch: -0.3054 | Importance: -0.2691,Doctypebranch: -0.2507 | Importance: -0.3971,Doctypebranch: -0.3911 | Importance: -0.3991,Doctypebranch: -0.4363 | Importance: -0.4910,Doctypebranch: -0.3950 | Importance: -0.5248,Doctypebranch: -0.3583 | Importance: -0.3990,Doctypebranch: -0.3849 | Importance: -0.3495,Doctypebranch: -0.4003 | Importance: -0.5289
core_number,Doctypebranch: -0.3832 | Importance: -0.2201,Doctypebranch: -0.2325 | Importance: -0.1547,Doctypebranch: -0.3919 | Importance: -0.3603,Doctypebranch: -0.2165 | Importance: -0.1083,Doctypebranch: -0.3177 | Importance: -0.3834,Doctypebranch: -0.0765 | Importance: -0.2174,Doctypebranch: -0.4252 | Importance: -0.4594,Doctypebranch: -0.4183 | Importance: -0.2105,Doctypebranch: -0.4545 | Importance: -0.3391,Doctypebranch: -0.3867 | Importance: -0.6336,Doctypebranch: -0.2852 | Importance: -0.8131,Doctypebranch: -0.4361 | Importance: -0.3843,Doctypebranch: -0.3290 | Importance: -0.3465,Doctypebranch: -0.3714 | Importance: -0.2996,Doctypebranch: -0.3845 | Importance: -0.3578,Doctypebranch: -0.3256 | Importance: -0.4334,Doctypebranch: -0.3832 | Importance: -0.2805,Doctypebranch: -0.2715 | Importance: -0.1932,Doctypebranch: -0.3864 | Importance: -0.4987
degree_centrality,Doctypebranch: -0.4132 | Importance: -0.2489,Doctypebranch: -0.2665 | Importance: -0.2085,Doctypebranch: -0.4259 | Importance: -0.3938,Doctypebranch: -0.2638 | Importance: -0.1511,Doctypebranch: -0.3472 | Importance: -0.4203,Doctypebranch: -0.1123 | Importance: -0.2374,Doctypebranch: -0.4515 | Importance: -0.5015,Doctypebranch: -0.4510 | Importance: -0.2390,Doctypebranch: -0.4736 | Importance: -0.3648,Doctypebranch: -0.4122 | Importance: -0.6344,Doctypebranch: -0.3421 | Importance: -0.8072,Doctypebranch: -0.4361 | Importance: -0.3843,Doctypebranch: -0.3502 | Importance: -0.3749,Doctypebranch: -0.4229 | Importance: -0.3269,Doctypebranch: -0.3936 | Importance: -0.3834,Doctypebranch: -0.3353 | Importance: -0.4495,Doctypebranch: -0.4063 | Importance: -0.3173,Doctypebranch: -0.3326 | Importance: -0.2450,Doctypebranch: -0.4029 | Importance: -0.5085
disruption,Doctypebranch: 0.1994 | Importance: 0.1385,Doctypebranch: 0.0296 | Importance: 0.0302,Doctypebranch: 0.0871 | Importance: 0.1316,Doctypebranch: 0.0320 | Importance: -0.0505,Doctypebranch: 0.1997 | Importance: 0.2866,Doctypebranch: -0.0900 | Importance: -0.2339,Doctypebranch: 0.2663 | Importance: 0.3262,Doctypebranch: 0.1188 | Importance: 0.0271,Doctypebranch: 0.1912 | Importance: 0.0673,Doctypebranch: -0.0876 | Importance: -0.0405,Doctypebranch: 0.0131 | Importance: 0.4605,Doctypebranch: -0.3054 | Importance: -0.2691,Doctypebranch: 0.1368 | Importance: 0.0964,Doctypebranch: 0.3319 | Importance: 0.2213,Doctypebranch: 0.1835 | Importance: 0.1848,Doctypebranch: 0.0609 | Importance: 0.0176,Doctypebranch: 0.1277 | Importance: 0.0413,Doctypebranch: 0.1697 | Importance: 0.0829,Doctypebranch: 0.1673 | Importance: 0.1637
eigenvector_centrality,Doctypebranch: -0.3564 | Importance: -0.3746,Doctypebranch: -0.3947 | Importance: -0.3652,Doctypebranch: -0.4164 | Importance: -0.4797,Doctypebranch: -0.2961 | Importance: -0.3136,Doctypebranch: -0.2765 | Importance: -0.4427,Doctypebranch: -0.0992 | Importance: -0.2526,Doctypebranch: -0.4439 | Importance: -0.5151,Doctypebranch: -0.3399 | Importance: -0.3193,Doctypebranch: -0.3114 | Importance: -0.3373,Doctypebranch: -0.3001 | Importance: -0.4750,Doctypebranch: -0.3205 | Importance: -0.6894,Doctypebranch: -0.3054 | Importance: -0.2691,Doctypebranch: -0.2524 | Importance: -0.3985,Doctypebranch: -0.3777 | Importance: -0.3986,Doctypebranch: -0.4346 | Importance: -0.4893,Doctypebranch: -0.3978 | Importance: -0.5276,Doctypebranch: -0.3542 | Importance: -0.3903,Doctypebranch: -0.3631 | Importance: -0.3429,Doctypebranch: -0.4017 | Importance: -0.5244
harmonic_centrality,Doctypebranch: -0.3796 | Importance: -0.3838,Doctypebranch: -0.3944 | Importance: -0.3784,Doctypebranch: -0.4125 | Importance: -0.4743,Doctypebranch: -0.3086 | Importance: -0.3195,Doctypebranch: -0.2915 | Importance: -0.4454,Doctypebranch: -0.1031 | Importance: -0.2509,Doctypebranch: -0.4442 | Importance: -0.5162,Doctypebranch: -0.3435 | Importance: -0.3264,Doctypebranch: -0.3313 | Importance: -0.3481,Doctypebranch: -0.3072 | Importance: -0.4751,Doctypebranch: -0.2713 | Importance: -0.6808,Doctypebranch: -0.3054 | Importance: -0.2691,Doctypebranch: -0.2554 | Importance: -0.4006,Doctypebranch: -0.3927 | Importance: -0.3988,Doctypebranch: -0.4371 | Importance: -0.4918,Doctypebranch: -0.3958 | Importance: -0.5255,Doctypebranch: -0.3591 | Importance: -0.3999,Doctypebranch: -0.3820 | Importance: -0.3494,Doctypebranch: -0.4007 | Importance: -0.5294
hits_authority,Doctypebranch: -0.3837 | Importance: -0.3508,Doctypebranch: -0.3078 | Importance: -0.3092,Doctypebranch: -0.4087 | Importance: -0.4639,Doctypebranch: -0.2590 | Importance: -0.2717,Doctypebranch: -0.3305 | Importance: -0.4254,Doctypebranch: -0.0188 | Importance: 0.0242,Doctypebranch: -0.4365 | Importance: -0.4918,Doctypebranch: -0.3373 | Importance: -0.3094,Doctypebranch: -0.3684 | Importance: -0.3543,Doctypebranch: -0.1131 | Importance: -0.2909,Doctypebranch: -0.1738 | Importance: -0.5373,Doctypebranch: -0.1662 | Importance: -0.1855,Doctypebranch: -0.3052 | Importance: -0.4066,Doctypebranch: -0.3701 | Importance: -0.3811,Doctypebranch: -0.4274 | Importance: -0.4424,Doctypebranch: -0.3595 | Importance: -0.4713,Doctypebranch: -0.3962 | Importance: -0.3829,Doctypebranch: -0.2076 | Importance: -0.2549,Doctypebranch: -0.3618 | Importance: -0.4827
hits_hub,Doctypebranch: -0.2190 | Importance: -0.0160,Doctypebranch: 0.3118 | Importance: 0.3729,Doctypebranch: -0.2191 | Importance: -0.1510,Doctypebranch: -0.1263 | Importance: 0.0270,Doctypebranch: -0.1139 | Importance: -0.1672,Doctypebranch: 0.0225 | Importance: 0.1390,Doctypebranch: -0.2633 | Importance: -0.2458,Doctypebranch: -0.2534 | Importance: -0.0625,Doctypebranch: -0.2585 | Importance: -0.1435,Doctypebranch: -0.3029 | Importance: -0.4268,Doctypebranch: -0.1441 | Importance: -0.7285,Doctypebranch: -0.3023 | Importance: -0.2691,Doctypebranch: -0.1509 | Importance: -0.0731,Doctypebranch: -0.0916 | Importance: -0.1524,Doctypebranch: -0.1694 | Importance: -0.0904,Doctypebranch: -0.0388 | Importance: -0.0196,Doctypebranch: -0.2368 | Importance: -0.1121,Doctypebranch: 0.0094 | Importance: 0.0042,Doctypebranch: -0.2218 | Importance: -0.2983
in_degree_centrality,Doctypebranch: -0.4095 | Importance: -0.3986,Doctypebranch: -0.3887 | Importance: -0.3811,Doctypebranch: -0.4260 | Importance: -0.4768,Doctypebranch: -0.3009 | Importance: -0.2981,Doctypebranch: -0.3496 | Importance: -0.4581,Doctypebranch: -0.1046 | Importance: -0.2526,Doctypebranch: -0.4641 | Importance: -0.5212,Doctypebranch: -0.3946 | Importance: -0.3294,Doctypebranch: -0.3888 | Importance: -0.3834,Doctypebranch: -0.3176 | Importance: -0.4762,Doctypebranch: -0.2873 | Importance: -0.6814,Doctypebranch: -0.3054 | Importance: -0.2691,Doctypebranch: -0.3219 | Importance: -0.4409,Doctypebranch: -0.4104 | Importance: -0.4080,Doctypebranch: -0.4550 | Importance: -0.5036,Doctypebranch: -0.4104 | Importance: -0.5357,Doctypebranch: -0.3990 | Importance: -0.4120,Doctypebranch: -0.3741 | Importance: -0.3475,Doctypebranch: -0.4159 | Importance: -0.5337
